intent,range,defense,fps,result,dense_result,min_dense_gap_m
RearUppercut,1.50,0,30,MISS,MISS,0.513573
RearUppercut,1.50,0,60,MISS,MISS,0.513573
RearUppercut,1.50,0,120,MISS,MISS,0.513573
RearUppercut,1.50,1,15,MISS,MISS,0.722546
RearUppercut,1.50,1,30,MISS,MISS,0.722546
RearUppercut,1.50,1,60,MISS,MISS,0.722546
RearUppercut,1.50,1,120,MISS,MISS,0.722546
RearUppercut,1.50,2,15,MISS,MISS,0.624822
RearUppercut,1.50,2,30,MISS,MISS,0.624822
RearUppercut,1.50,2,60,MISS,MISS,0.624822
RearUppercut,1.50,2,120,MISS,MISS,0.624822
RearUppercut,0.94,0,15,BLOCK,BLOCK,-0.010654
RearUppercut,0.94,0,30,BLOCK,BLOCK,-0.010654
RearUppercut,0.94,0,60,BLOCK,BLOCK,-0.010654
RearUppercut,0.94,0,120,BLOCK,BLOCK,-0.010654
RearUppercut,0.94,1,15,MISS,MISS,0.171690
RearUppercut,0.94,1,30,MISS,MISS,0.171690
RearUppercut,0.94,1,60,MISS,MISS,0.171690
RearUppercut,0.94,1,120,MISS,MISS,0.171690
RearUppercut,0.94,2,15,MISS,MISS,0.079222
RearUppercut,0.94,2,30,MISS,MISS,0.079222
RearUppercut,0.94,2,60,MISS,MISS,0.079222
RearUppercut,0.94,2,120,MISS,MISS,0.079222
RearUppercut,0.69,0,15,BLOCK,BLOCK,-0.165239
RearUppercut,0.69,0,30,BLOCK,BLOCK,-0.165239
RearUppercut,0.69,0,60,BLOCK,BLOCK,-0.165239
RearUppercut,0.69,0,120,BLOCK,BLOCK,-0.165239
RearUppercut,0.69,1,15,HIT,HIT,-0.059840
RearUppercut,0.69,1,30,HIT,HIT,-0.059840
RearUppercut,0.69,1,60,HIT,HIT,-0.059840
RearUppercut,0.69,1,120,HIT,HIT,-0.059840
RearUppercut,0.69,2,15,BLOCK,BLOCK,-0.139344
RearUppercut,0.69,2,30,BLOCK,BLOCK,-0.139344
RearUppercut,0.69,2,60,BLOCK,BLOCK,-0.139344
RearUppercut,0.69,2,120,BLOCK,BLOCK,-0.139344
LeadOverhand,1.50,0,15,MISS,MISS,0.416839
LeadOverhand,1.50,0,30,MISS,MISS,0.416839
LeadOverhand,1.50,0,60,MISS,MISS,0.416839
LeadOverhand,1.50,0,120,MISS,MISS,0.416839
LeadOverhand,1.50,1,15,MISS,MISS,0.610759
LeadOverhand,1.50,1,30,MISS,MISS,0.610759
LeadOverhand,1.50,1,60,MISS,MISS,0.610759
LeadOverhand,1.50,1,120,MISS,MISS,0.610759
LeadOverhand,1.50,2,15,MISS,MISS,0.529852
LeadOverhand,1.50,2,30,MISS,MISS,0.529852
